college_code,college_name,branch,course,category,cutoff_rank
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,1G,10362
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,2AG,11146
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,2AR,11476
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,2BG,12715
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,3AG,8838
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,3BG,9285
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GM,7157
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GMK,8135
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GMR,10325
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,SCG,27948
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,SCK,36559
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,SCR,37378
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,STG,35989
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,STR,49505
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AR Architecture,ENGG,GM,489
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,1G,98609
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,2BG,104932
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,3AR,79728
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,3BG,93824
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,1G,8646
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,1R,13146
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2AG,7279
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2AK,8846
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2AR,8245
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2BG,10578
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2BR,11860
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3AG,6017
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3AR,6547
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3BG,6600
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3BK,11154
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3BR,7064
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,GM,4914
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,GMK,7918
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,GMR,6323
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCG,22940
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCK,26105
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCR,36141
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,STG,37113
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,STR,43373
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,1G,14612
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,1R,17032
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2AG,14028
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2AK,21937
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2AR,20567
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2BG,16034
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2BR,40511
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3AG,13656
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3AK,19963
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3BG,12051
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3BR,13931
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GM,9976
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GMK,15038
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GMR,13037
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,SCG,44436
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,SCK,49110
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,SCR,53475
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,STG,34812
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,STR,37639
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,1G,39563
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,1K,71156
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,1R,61832
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2AG,39832
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2AK,40667
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2AR,47781
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2BG,33101
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,3AG,33695
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,3BG,33659
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,3BR,35222
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,GM,25367
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,GMK,29180
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,GMR,29394
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,SCG,75273
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,SCK,84270
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,STK,66517
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,1G,12586
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,2AG,8508
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,2AR,10046
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,2BG,11837
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,2BK,30724
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,3AG,8314
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,3AR,9527
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,3BG,9246
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,GM,6958
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,GMK,9396
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,GMR,8691
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,SCG,35459
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,SCR,44824
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,STG,36505
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,STR,37241
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,1G,86588
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,2BG,71544
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,2BR,74163
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,3AG,68220
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,3AK,98456
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,3AR,80617
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,3BG,56271
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,3BK,67513
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,3BR,72033
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,1G,181473
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,2AG,254583
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,2BG,217198
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,3AG,172568
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,3BG,188177
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,1G,31182
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,1R,32544
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,2AG,35645
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,2AR,41947
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,2BG,30184
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,2BR,39782
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,3AG,27273
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,3AR,35533
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,3BG,28228
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,3BK,33427
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,GM,24048
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,GMK,32706
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,GMR,31083
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,SCG,53473
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,SCR,60322
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,STG,65492
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,1G,57018
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,2AG,54450
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,2AR,61870
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,2BG,88509
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,3AG,51238
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,3BG,50705
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,3BR,58542
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,GM,39290
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,GMK,45452
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,GMR,48802
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,SCG,97615
E002,S K S J T Institute of Engineering. Bangalore,ST Silk Tech.,ENGG,GM,268341
E002,S K S J T Institute of Engineering. Bangalore,TX Textiles,ENGG,GM,272873
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,1G,62644
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,2AG,64890
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,2AR,71843
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,2BG,73226
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,3AG,57133
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,3BG,41883
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,3BR,65223
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,GM,37993
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,GMK,53895
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,GMR,47288
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,SCG,80462
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,1G,8704
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,1R,11264
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,2AG,6391
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,2AR,6916
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,2BG,6731
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,3AG,6414
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,3BG,3692
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,3BK,11984
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,GM,2955
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,GMK,7725
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,GMR,6804
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,SCG,25896
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,SCR,35225
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,STG,32837
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,STR,54873
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,1G,14853
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,1R,49153
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,2AG,30575
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,2AK,32215
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,2AR,32003
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,2BG,41064
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,3AG,30704
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,3BG,23586
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,3BR,51083
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,GM,12800
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,GMK,25985
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,GMR,19577
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,SCG,50740
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,SCK,99041
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,1G,91557
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,2AG,67754
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,2BK,90420
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,3BG,47265
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,3BK,53636
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,3BR,81419
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,1G,27614
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,2AG,38952
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,2AR,42973
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,2BG,46818
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,3AG,31120
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,3AK,81676
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,3AR,60273
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,3BG,34678
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,GM,23950
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,GMK,47628
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,GMR,38686
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,SCG,87250
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,STK,171095
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,1G,208304
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,2AG,222082
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,2BG,269857
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,3AG,175938
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,3BG,163208
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,1G,15294
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,1K,20322
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,2AG,17559
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,2AR,27732
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,2BG,16306
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,3AG,17579
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,3BG,14603
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,3BR,19595
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,GM,12255
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,GMK,12334
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,GMR,13902
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,SCG,37377
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,SCR,42928
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,STG,39630
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,STR,41358
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,1G,42721
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,2AG,32934
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,2AK,43577
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,2AR,41418
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,2BG,43116
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,2BR,52075
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,3AG,25563
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,3AR,29154
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,3BG,30283
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,3BR,35038
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,GM,24651
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,GMK,27368
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,GMR,26000
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,SCG,64721
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,SCR,64332
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,STG,68968
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,STK,65943
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,1G,47309
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,1R,58473
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,2AG,76907
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,2AK,78413
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,2BR,50230
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,3AK,66626
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,3AR,50942
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,3BG,51692
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,3BR,43810
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,GM,50574
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,GMK,55102
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,GMR,84839
E004,Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.,ENGG,1G,144849
E004,Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.,ENGG,2AG,138641
E004,Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.,ENGG,2BG,162286
E004,Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.,ENGG,3AG,86461
E004,Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.,ENGG,3BG,90257
E004,Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.,ENGG,GM,71715
E004,Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.,ENGG,GMK,82952
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,1G,55027
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,2AG,92937
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,2BR,61269
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,3AG,182314
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,3AR,60518
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,3BR,48800
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,GM,55768
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,GMK,55282
E004,Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.,ENGG,GMR,115572
E004,Dr. Ambedkar Institute Of Technology Bangalore,IM Ind. Engg.,ENGG,2AG,218441
E004,Dr. Ambedkar Institute Of Technology Bangalore,IM Ind. Engg.,ENGG,2BG,192316
E004,Dr. Ambedkar Institute Of Technology Bangalore,IM Ind. Engg.,ENGG,3AG,186669
E004,Dr. Ambedkar Institute Of Technology Bangalore,IM Ind. Engg.,ENGG,3BG,219241
E004,Dr. Ambedkar Institute Of Technology Bangalore,IM Ind. Engg.,ENGG,GM,179084
E004,Dr. Ambedkar Institute Of Technology Bangalore,IM Ind. Engg.,ENGG,SCR,180958
E004,Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,ENGG,1G,146614
E004,Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,ENGG,2AG,265326
E004,Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,ENGG,2BG,193519
E004,Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,ENGG,3AG,190901
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,1G,25508
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,2AG,23528
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,2AK,94377
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,2AR,160753
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,3AG,12521
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,3BG,14575
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,GM,8563
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,GMR,13770
E005,R. V. College of Engineering Bangalore,BT Bio Technology,ENGG,SCG,95721
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,1G,1856
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,2AG,2287
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,2AR,2556
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,2BG,2177
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,3AG,1640
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,3BG,1518
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,3BR,2313
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine",ENGG,GM,888
